Nr,KeggModule,KeggModuleNR,KeggModuleName,CategoryGlobal,Category,KeggModuleOrder
205,"Environmental information processing - Saccharide, polyol, and lipid transport system - M00215: D-Xylose transport system",M00215,M00215: D-Xylose transport system,Environmental information processing,"Saccharide, polyol, and lipid transport system",205
206,"Environmental information processing - Saccharide, polyol, and lipid transport system - M00216: Multiple sugar transport system",M00216,M00216: Multiple sugar transport system,Environmental information processing,"Saccharide, polyol, and lipid transport system",206
207,"Environmental information processing - Saccharide, polyol, and lipid transport system - M00217: D-Allose transport system",M00217,M00217: D-Allose transport system,Environmental information processing,"Saccharide, polyol, and lipid transport system",207
208,"Environmental information processing - Saccharide, polyol, and lipid transport system - M00218: Fructose transport system",M00218,M00218: Fructose transport system,Environmental information processing,"Saccharide, polyol, and lipid transport system",208
209,"Environmental information processing - Saccharide, polyol, and lipid transport system - M00219: AI-2 transport system",M00219,M00219: AI-2 transport system,Environmental information processing,"Saccharide, polyol, and lipid transport system",209
210,"Environmental information processing - Saccharide, polyol, and lipid transport system - M00220: Rhamnose transport system",M00220,M00220: Rhamnose transport system,Environmental information processing,"Saccharide, polyol, and lipid transport system",210
211,"Environmental information processing - Saccharide, polyol, and lipid transport system - M00221: Putative simple sugar transport system",M00221,M00221: Putative simple sugar transport system,Environmental information processing,"Saccharide, polyol, and lipid transport system",211
212,Environmental information processing - Phosphate and amino acid transport system - M00222: Phosphate transport system,M00222,M00222: Phosphate transport system,Environmental information processing,Phosphate and amino acid transport system,212
213,Environmental information processing - Phosphate and amino acid transport system - M00223: Phosphonate transport system,M00223,M00223: Phosphonate transport system,Environmental information processing,Phosphate and amino acid transport system,213
214,Environmental information processing - ABC-2 type and other transport systems - M00224: Fluoroquinolone transport system,M00224,M00224: Fluoroquinolone transport system,Environmental information processing,ABC-2 type and other transport systems,214
215,Environmental information processing - Phosphate and amino acid transport system - M00225: Lysine/arginine/ornithine transport system,M00225,M00225: Lysine/arginine/ornithine transport system,Environmental information processing,Phosphate and amino acid transport system,215
216,Environmental information processing - Phosphate and amino acid transport system - M00226: Histidine transport system,M00226,M00226: Histidine transport system,Environmental information processing,Phosphate and amino acid transport system,216
217,Environmental information processing - Phosphate and amino acid transport system - M00227: Glutamine transport system,M00227,M00227: Glutamine transport system,Environmental information processing,Phosphate and amino acid transport system,217
218,Environmental information processing - Phosphate and amino acid transport system - M00228: Putative glutamine transport system,M00228,M00228: Putative glutamine transport system,Environmental information processing,Phosphate and amino acid transport system,218
219,Environmental information processing - Phosphate and amino acid transport system - M00229: Arginine transport system,M00229,M00229: Arginine transport system,Environmental information processing,Phosphate and amino acid transport system,219
220,Environmental information processing - Phosphate and amino acid transport system - M00230: Glutamate/aspartate transport system,M00230,M00230: Glutamate/aspartate transport system,Environmental information processing,Phosphate and amino acid transport system,220
221,Environmental information processing - Phosphate and amino acid transport system - M00231: Octopine/nopaline transport system,M00231,M00231: Octopine/nopaline transport system,Environmental information processing,Phosphate and amino acid transport system,221
222,Environmental information processing - Phosphate and amino acid transport system - M00232: General L-amino acid transport system,M00232,M00232: General L-amino acid transport system,Environmental information processing,Phosphate and amino acid transport system,222
223,Environmental information processing - Phosphate and amino acid transport system - M00233: Glutamate transport system,M00233,M00233: Glutamate transport system,Environmental information processing,Phosphate and amino acid transport system,223
224,Environmental information processing - Phosphate and amino acid transport system - M00234: Cystine transport system,M00234,M00234: Cystine transport system,Environmental information processing,Phosphate and amino acid transport system,224
225,Environmental information processing - Phosphate and amino acid transport system - M00235: Arginine/ornithine transport system,M00235,M00235: Arginine/ornithine transport system,Environmental information processing,Phosphate and amino acid transport system,225
226,Environmental information processing - Phosphate and amino acid transport system - M00236: Putative polar amino acid transport system,M00236,M00236: Putative polar amino acid transport system,Environmental information processing,Phosphate and amino acid transport system,226
227,Environmental information processing - Phosphate and amino acid transport system - M00237: Branched-chain amino acid transport system,M00237,M00237: Branched-chain amino acid transport system,Environmental information processing,Phosphate and amino acid transport system,227
228,Environmental information processing - Phosphate and amino acid transport system - M00238: D-Methionine transport system,M00238,M00238: D-Methionine transport system,Environmental information processing,Phosphate and amino acid transport system,228
229,Environmental information processing - Peptide and nickel transport system - M00239: Peptides/nickel transport system,M00239,M00239: Peptides/nickel transport system,Environmental information processing,Peptide and nickel transport system,229
230,"Environmental information processing - Metallic cation, iron-siderophore and vitamin B12 transport system - M00240: Iron complex transport system",M00240,M00240: Iron complex transport system,Environmental information processing,"Metallic cation, iron-siderophore and vitamin B12 transport system",230
231,"Environmental information processing - Metallic cation, iron-siderophore and vitamin B12 transport system - M00241: Vitamin B12 transport system",M00241,M00241: Vitamin B12 transport system,Environmental information processing,"Metallic cation, iron-siderophore and vitamin B12 transport system",231
232,"Environmental information processing - Metallic cation, iron-siderophore and vitamin B12 transport system - M00242: Zinc transport system",M00242,M00242: Zinc transport system,Environmental information processing,"Metallic cation, iron-siderophore and vitamin B12 transport system",232
233,"Environmental information processing - Metallic cation, iron-siderophore and vitamin B12 transport system - M00243: Manganese/iron transport system",M00243,M00243: Manganese/iron transport system,Environmental information processing,"Metallic cation, iron-siderophore and vitamin B12 transport system",233
234,"Environmental information processing - Metallic cation, iron-siderophore and vitamin B12 transport system - M00244: Putative zinc/manganese transport system",M00244,M00244: Putative zinc/manganese transport system,Environmental information processing,"Metallic cation, iron-siderophore and vitamin B12 transport system",234
235,"Environmental information processing - Metallic cation, iron-siderophore and vitamin B12 transport system - M00245: Cobalt/nickel transport system",M00245,M00245: Cobalt/nickel transport system,Environmental information processing,"Metallic cation, iron-siderophore and vitamin B12 transport system",235
236,"Environmental information processing - Metallic cation, iron-siderophore and vitamin B12 transport system - M00246: Nickel transport system",M00246,M00246: Nickel transport system,Environmental information processing,"Metallic cation, iron-siderophore and vitamin B12 transport system",236
237,"Environmental information processing - Metallic cation, iron-siderophore and vitamin B12 transport system - M00247: Putative ABC transport system",M00247,M00247: Putative ABC transport system,Environmental information processing,"Metallic cation, iron-siderophore and vitamin B12 transport system",237
238,Environmental information processing - ABC-2 type and other transport systems - M00249: Capsular polysaccharide transport system,M00249,M00249: Capsular polysaccharide transport system,Environmental information processing,ABC-2 type and other transport systems,238
239,Environmental information processing - ABC-2 type and other transport systems - M00250: Lipopolysaccharide transport system,M00250,M00250: Lipopolysaccharide transport system,Environmental information processing,ABC-2 type and other transport systems,239
240,Environmental information processing - ABC-2 type and other transport systems - M00251: Teichoic acid transport system,M00251,M00251: Teichoic acid transport system,Environmental information processing,ABC-2 type and other transport systems,240
241,Environmental information processing - ABC-2 type and other transport systems - M00252: Lipooligosaccharide transport system,M00252,M00252: Lipooligosaccharide transport system,Environmental information processing,ABC-2 type and other transport systems,241
242,Environmental information processing - ABC-2 type and other transport systems - M00253: Sodium transport system,M00253,M00253: Sodium transport system,Environmental information processing,ABC-2 type and other transport systems,242
243,Environmental information processing - ABC-2 type and other transport systems - M00254: ABC-2 type transport system,M00254,M00254: ABC-2 type transport system,Environmental information processing,ABC-2 type and other transport systems,243
244,Environmental information processing - ABC-2 type and other transport systems - M00255: Lipoprotein-releasing system,M00255,M00255: Lipoprotein-releasing system,Environmental information processing,ABC-2 type and other transport systems,244
245,Environmental information processing - ABC-2 type and other transport systems - M00256: Cell division transport system,M00256,M00256: Cell division transport system,Environmental information processing,ABC-2 type and other transport systems,245
246,Environmental information processing - ABC-2 type and other transport systems - M00257: Hemin transport system,M00257,M00257: Hemin transport system,Environmental information processing,ABC-2 type and other transport systems,246
247,Environmental information processing - ABC-2 type and other transport systems - M00258: Putative ABC transport system,M00258,M00258: Putative ABC transport system,Environmental information processing,ABC-2 type and other transport systems,247
248,Environmental information processing - ABC-2 type and other transport systems - M00259: Heme transport system,M00259,M00259: Heme transport system,Environmental information processing,ABC-2 type and other transport systems,248
249,"Genetic information processing - DNA polymerase - M00260: DNA polymerase III complex, bacteria",M00260,"M00260: DNA polymerase III complex, bacteria",Genetic information processing,DNA polymerase,249
250,Genetic information processing - DNA polymerase - M00261: DNA polymerase alpha / primase complex,M00261,M00261: DNA polymerase alpha / primase complex,Genetic information processing,DNA polymerase,250
251,Genetic information processing - DNA polymerase - M00262: DNA polymerase delta complex,M00262,M00262: DNA polymerase delta complex,Genetic information processing,DNA polymerase,251
252,Genetic information processing - DNA polymerase - M00263: DNA polymerase epsilon complex,M00263,M00263: DNA polymerase epsilon complex,Genetic information processing,DNA polymerase,252
253,"Genetic information processing - DNA polymerase - M00264: DNA polymerase II complex, archaea",M00264,"M00264: DNA polymerase II complex, archaea",Genetic information processing,DNA polymerase,253
254,"Environmental information processing - Phosphotransferase system (PTS) - M00265: PTS system, glucose-specific II component",M00265,"M00265: PTS system, glucose-specific II component",Environmental information processing,Phosphotransferase system (PTS),254
255,"Environmental information processing - Phosphotransferase system (PTS) - M00266: PTS system, maltose/glucose-specific II component",M00266,"M00266: PTS system, maltose/glucose-specific II component",Environmental information processing,Phosphotransferase system (PTS),255
256,"Environmental information processing - Phosphotransferase system (PTS) - M00267: PTS system, N-acetylglucosamine-specific II component",M00267,"M00267: PTS system, N-acetylglucosamine-specific II component",Environmental information processing,Phosphotransferase system (PTS),256
257,"Environmental information processing - Phosphotransferase system (PTS) - M00268: PTS system, alpha-glucoside-specific II component",M00268,"M00268: PTS system, alpha-glucoside-specific II component",Environmental information processing,Phosphotransferase system (PTS),257
258,"Environmental information processing - Phosphotransferase system (PTS) - M00269: PTS system, sucrose-specific II component",M00269,"M00269: PTS system, sucrose-specific II component",Environmental information processing,Phosphotransferase system (PTS),258
259,"Environmental information processing - Phosphotransferase system (PTS) - M00270: PTS system, trehalose-specific II component",M00270,"M00270: PTS system, trehalose-specific II component",Environmental information processing,Phosphotransferase system (PTS),259
260,"Environmental information processing - Phosphotransferase system (PTS) - M00271: PTS system, beta-glucoside-specific II component",M00271,"M00271: PTS system, beta-glucoside-specific II component",Environmental information processing,Phosphotransferase system (PTS),260
261,"Environmental information processing - Phosphotransferase system (PTS) - M00272: PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific II component",M00272,"M00272: PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific II component",Environmental information processing,Phosphotransferase system (PTS),261
262,"Environmental information processing - Phosphotransferase system (PTS) - M00273: PTS system, fructose-specific II component",M00273,"M00273: PTS system, fructose-specific II component",Environmental information processing,Phosphotransferase system (PTS),262
263,"Environmental information processing - Phosphotransferase system (PTS) - M00274: PTS system, mannitol-specific II component",M00274,"M00274: PTS system, mannitol-specific II component",Environmental information processing,Phosphotransferase system (PTS),263
264,"Environmental information processing - Phosphotransferase system (PTS) - M00275: PTS system, cellobiose-specific II component",M00275,"M00275: PTS system, cellobiose-specific II component",Environmental information processing,Phosphotransferase system (PTS),264
265,"Environmental information processing - Phosphotransferase system (PTS) - M00276: PTS system, mannose-specific II component",M00276,"M00276: PTS system, mannose-specific II component",Environmental information processing,Phosphotransferase system (PTS),265
266,"Environmental information processing - Phosphotransferase system (PTS) - M00277: PTS system, N-acetylgalactosamine-specific II component",M00277,"M00277: PTS system, N-acetylgalactosamine-specific II component",Environmental information processing,Phosphotransferase system (PTS),266
267,"Environmental information processing - Phosphotransferase system (PTS) - M00278: PTS system, sorbose-specific II component",M00278,"M00278: PTS system, sorbose-specific II component",Environmental information processing,Phosphotransferase system (PTS),267
268,"Environmental information processing - Phosphotransferase system (PTS) - M00279: PTS system, galactitol-specific II component",M00279,"M00279: PTS system, galactitol-specific II component",Environmental information processing,Phosphotransferase system (PTS),268
269,"Environmental information processing - Phosphotransferase system (PTS) - M00280: PTS system, glucitol/sorbitol-specific II component",M00280,"M00280: PTS system, glucitol/sorbitol-specific II component",Environmental information processing,Phosphotransferase system (PTS),269
270,"Environmental information processing - Phosphotransferase system (PTS) - M00281: PTS system, lactose-specific II component",M00281,"M00281: PTS system, lactose-specific II component",Environmental information processing,Phosphotransferase system (PTS),270
271,"Environmental information processing - Phosphotransferase system (PTS) - M00282: PTS system, D-glucosamine-specific II component",M00282,"M00282: PTS system, D-glucosamine-specific II component",Environmental information processing,Phosphotransferase system (PTS),271
272,"Environmental information processing - Phosphotransferase system (PTS) - M00283: PTS system, ascorbate-specific II component",M00283,"M00283: PTS system, ascorbate-specific II component",Environmental information processing,Phosphotransferase system (PTS),272
273,Genetic information processing - Replication system - M00284: Origin recognition complex,M00284,M00284: Origin recognition complex,Genetic information processing,Replication system,273
274,Genetic information processing - Replication system - M00285: MCM complex,M00285,M00285: MCM complex,Genetic information processing,Replication system,274
275,Genetic information processing - Replication system - M00286: GINS complex,M00286,M00286: GINS complex,Genetic information processing,Replication system,275
276,"Environmental information processing - Phosphotransferase system (PTS) - M00287: PTS system, galactosamine-specific II component",M00287,"M00287: PTS system, galactosamine-specific II component",Environmental information processing,Phosphotransferase system (PTS),276
277,Genetic information processing - Replication system - M00288: RPA complex,M00288,M00288: RPA complex,Genetic information processing,Replication system,277
278,Genetic information processing - Replication system - M00289: RF-C complex,M00289,M00289: RF-C complex,Genetic information processing,Replication system,278
279,Genetic information processing - Repair system - M00290: Holo-TFIIH complex,M00290,M00290: Holo-TFIIH complex,Genetic information processing,Repair system,279
280,Genetic information processing - Repair system - M00291: MRN complex,M00291,M00291: MRN complex,Genetic information processing,Repair system,280
281,Genetic information processing - Repair system - M00292: MRX complex,M00292,M00292: MRX complex,Genetic information processing,Repair system,281
282,Genetic information processing - DNA polymerase - M00293: DNA polymerase zeta  complex,M00293,M00293: DNA polymerase zeta  complex,Genetic information processing,DNA polymerase,282
283,Genetic information processing - DNA polymerase - M00294: DNA polymerase gamma complex,M00294,M00294: DNA polymerase gamma complex,Genetic information processing,DNA polymerase,283
284,Genetic information processing - Repair system - M00295: BRCA1-associated genome surveillance complex (BASC),M00295,M00295: BRCA1-associated genome surveillance complex (BASC),Genetic information processing,Repair system,284
285,Genetic information processing - Repair system - M00296: BER complex,M00296,M00296: BER complex,Genetic information processing,Repair system,285
286,Genetic information processing - Repair system - M00297: DNA-PK complex,M00297,M00297: DNA-PK complex,Genetic information processing,Repair system,286
287,Environmental information processing - ABC-2 type and other transport systems - M00298: Multidrug/hemolysin transport system,M00298,M00298: Multidrug/hemolysin transport system,Environmental information processing,ABC-2 type and other transport systems,287
288,Environmental information processing - Mineral and organic ion transport system - M00299: Spermidine/putrescine transport system,M00299,M00299: Spermidine/putrescine transport system,Environmental information processing,Mineral and organic ion transport system,288
289,Environmental information processing - Mineral and organic ion transport system - M00300: Putrescine transport system,M00300,M00300: Putrescine transport system,Environmental information processing,Mineral and organic ion transport system,289
290,Environmental information processing - Mineral and organic ion transport system - M00301: Mannopine transport system,M00301,M00301: Mannopine transport system,Environmental information processing,Mineral and organic ion transport system,290
291,Environmental information processing - Mineral and organic ion transport system - M00302: 2-Aminoethylphosphonate transport system,M00302,M00302: 2-Aminoethylphosphonate transport system,Environmental information processing,Mineral and organic ion transport system,291
292,"Environmental information processing - Phosphotransferase system (PTS) - M00303: PTS system, N-acetylmuramic acid-specific II component",M00303,"M00303: PTS system, N-acetylmuramic acid-specific II component",Environmental information processing,Phosphotransferase system (PTS),292
293,"Environmental information processing - Phosphotransferase system (PTS) - M00304: PTS system, fructose-specific II component",M00304,"M00304: PTS system, fructose-specific II component",Environmental information processing,Phosphotransferase system (PTS),293
294,"Environmental information processing - Phosphotransferase system (PTS) - M00305: PTS system, 2-O-A-mannosyl-D-glycerate-specific II component",M00305,"M00305: PTS system, 2-O-A-mannosyl-D-glycerate-specific II component",Environmental information processing,Phosphotransferase system (PTS),294
295,"Environmental information processing - Phosphotransferase system (PTS) - M00306: PTS system, fructose-specific II-like component",M00306,"M00306: PTS system, fructose-specific II-like component",Environmental information processing,Phosphotransferase system (PTS),295
296,"Carbohydrate and lipid metabolism - Central carbohydrate metabolism - M00307: Pyruvate oxidation, pyruvate => acetyl-CoA",M00307,"M00307: Pyruvate oxidation, pyruvate => acetyl-CoA",Carbohydrate and lipid metabolism,Central carbohydrate metabolism,296
297,"Carbohydrate and lipid metabolism - Central carbohydrate metabolism - M00308: Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",M00308,"M00308: Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",Carbohydrate and lipid metabolism,Central carbohydrate metabolism,297
298,"Carbohydrate and lipid metabolism - Central carbohydrate metabolism - M00309: Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate",M00309,"M00309: Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate",Carbohydrate and lipid metabolism,Central carbohydrate metabolism,298
299,Environmental information processing - ABC-2 type and other transport systems - M00314: Bacitracin transport system,M00314,M00314: Bacitracin transport system,Environmental information processing,ABC-2 type and other transport systems,299
300,Environmental information processing - ABC-2 type and other transport systems - M00315: Uncharacterized ABC transport system,M00315,M00315: Uncharacterized ABC transport system,Environmental information processing,ABC-2 type and other transport systems,300
301,"Environmental information processing - Metallic cation, iron-siderophore and vitamin B12 transport system - M00316: Manganese transport system",M00316,M00316: Manganese transport system,Environmental information processing,"Metallic cation, iron-siderophore and vitamin B12 transport system",301
302,"Environmental information processing - Metallic cation, iron-siderophore and vitamin B12 transport system - M00317: Manganese/iron transport system",M00317,M00317: Manganese/iron transport system,Environmental information processing,"Metallic cation, iron-siderophore and vitamin B12 transport system",302
303,"Environmental information processing - Metallic cation, iron-siderophore and vitamin B12 transport system - M00318: Iron/zinc/manganese/copper transport system",M00318,M00318: Iron/zinc/manganese/copper transport system,Environmental information processing,"Metallic cation, iron-siderophore and vitamin B12 transport system",303
304,"Environmental information processing - Metallic cation, iron-siderophore and vitamin B12 transport system - M00319: Manganese/zinc/iron transport system",M00319,M00319: Manganese/zinc/iron transport system,Environmental information processing,"Metallic cation, iron-siderophore and vitamin B12 transport system",304
305,Environmental information processing - ABC-2 type and other transport systems - M00320: Lipopolysaccharide export system,M00320,M00320: Lipopolysaccharide export system,Environmental information processing,ABC-2 type and other transport systems,305
306,Environmental information processing - Mineral and organic ion transport system - M00321: Bicarbonate transport system,M00321,M00321: Bicarbonate transport system,Environmental information processing,Mineral and organic ion transport system,306
307,Environmental information processing - Phosphate and amino acid transport system - M00322: Neutral amino acid transport system,M00322,M00322: Neutral amino acid transport system,Environmental information processing,Phosphate and amino acid transport system,307
308,Environmental information processing - Phosphate and amino acid transport system - M00323: Urea transport system,M00323,M00323: Urea transport system,Environmental information processing,Phosphate and amino acid transport system,308
309,Environmental information processing - Peptide and nickel transport system - M00324: Dipeptide transport system,M00324,M00324: Dipeptide transport system,Environmental information processing,Peptide and nickel transport system,309
310,Environmental information processing - Bacterial secretion system - M00325: alpha-Hemolysin/cyclolysin transport system,M00325,M00325: alpha-Hemolysin/cyclolysin transport system,Environmental information processing,Bacterial secretion system,310
311,Environmental information processing - Bacterial secretion system - M00326: RTX toxin transport system,M00326,M00326: RTX toxin transport system,Environmental information processing,Bacterial secretion system,311
312,Environmental information processing - Bacterial secretion system - M00327: S-Layer protein transport system,M00327,M00327: S-Layer protein transport system,Environmental information processing,Bacterial secretion system,312
313,Environmental information processing - Bacterial secretion system - M00328: Hemophore/metalloprotease transport system,M00328,M00328: Hemophore/metalloprotease transport system,Environmental information processing,Bacterial secretion system,313
314,Environmental information processing - Bacterial secretion system - M00329: Multiple protein transport system,M00329,M00329: Multiple protein transport system,Environmental information processing,Bacterial secretion system,314
315,Environmental information processing - Bacterial secretion system - M00330: Adhesin protein transport system,M00330,M00330: Adhesin protein transport system,Environmental information processing,Bacterial secretion system,315
316,Environmental information processing - Bacterial secretion system - M00331: Type II general secretion pathway,M00331,M00331: Type II general secretion pathway,Environmental information processing,Bacterial secretion system,316
317,Environmental information processing - Bacterial secretion system - M00332: Type III secretion system,M00332,M00332: Type III secretion system,Environmental information processing,Bacterial secretion system,317
318,Environmental information processing - Bacterial secretion system - M00333: Type IV secretion system,M00333,M00333: Type IV secretion system,Environmental information processing,Bacterial secretion system,318
319,Environmental information processing - Bacterial secretion system - M00334: Type VI secretion system,M00334,M00334: Type VI secretion system,Environmental information processing,Bacterial secretion system,319
320,Environmental information processing - Bacterial secretion system - M00335: Sec (secretion) system,M00335,M00335: Sec (secretion) system,Environmental information processing,Bacterial secretion system,320
321,Environmental information processing - Bacterial secretion system - M00336: Twin-arginine translocation (Tat) system,M00336,M00336: Twin-arginine translocation (Tat) system,Environmental information processing,Bacterial secretion system,321
322,Genetic information processing - Proteasome - M00337: Immunoproteasome,M00337,M00337: Immunoproteasome,Genetic information processing,Proteasome,322
323,"Nucleotide and amino acid metabolism - Cysteine and methionine metabolism - M00338: Cysteine biosynthesis, homocysteine + serine => cysteine",M00338,"M00338: Cysteine biosynthesis, homocysteine + serine => cysteine",Nucleotide and amino acid metabolism,Cysteine and methionine metabolism,323
324,Environmental information processing - Bacterial secretion system - M00339: RaxAB-RaxC type I secretion system,M00339,M00339: RaxAB-RaxC type I secretion system,Environmental information processing,Bacterial secretion system,324
325,"Genetic information processing - Proteasome - M00340: Proteasome, 20S core particle",M00340,"M00340: Proteasome, 20S core particle",Genetic information processing,Proteasome,325
326,"Genetic information processing - Proteasome - M00341: Proteasome, 19S regulatory particle (PA700)",M00341,"M00341: Proteasome, 19S regulatory particle (PA700)",Genetic information processing,Proteasome,326
327,Genetic information processing - Proteasome - M00342: Bacterial proteasome,M00342,M00342: Bacterial proteasome,Genetic information processing,Proteasome,327
328,Genetic information processing - Proteasome - M00343: Archaeal proteasome,M00343,M00343: Archaeal proteasome,Genetic information processing,Proteasome,328
329,"Energy metabolism - Methane metabolism - M00344: Formaldehyde assimilation, xylulose monophosphate pathway",M00344,"M00344: Formaldehyde assimilation, xylulose monophosphate pathway",Energy metabolism,Methane metabolism,329
330,"Energy metabolism - Methane metabolism - M00345: Formaldehyde assimilation, ribulose monophosphate pathway",M00345,"M00345: Formaldehyde assimilation, ribulose monophosphate pathway",Energy metabolism,Methane metabolism,330
331,"Energy metabolism - Methane metabolism - M00346: Formaldehyde assimilation, serine pathway",M00346,"M00346: Formaldehyde assimilation, serine pathway",Energy metabolism,Methane metabolism,331
332,Environmental information processing - Peptide and nickel transport system - M00348: Glutathione transport system,M00348,M00348: Glutathione transport system,Environmental information processing,Peptide and nickel transport system,332
333,Environmental information processing - Peptide and nickel transport system - M00349: Microcin C transport system,M00349,M00349: Microcin C transport system,Environmental information processing,Peptide and nickel transport system,333
334,"Nucleotide and amino acid metabolism - Aromatic amino acid metabolism - M00350: Capsaicin biosynthesis, L-Phenylalanine => Capsaicin",M00350,"M00350: Capsaicin biosynthesis, L-Phenylalanine => Capsaicin",Nucleotide and amino acid metabolism,Aromatic amino acid metabolism,334
335,"Genetic information processing - Spliceosome - M00351: Spliceosome, U1-snRNP",M00351,"M00351: Spliceosome, U1-snRNP",Genetic information processing,Spliceosome,335
336,"Genetic information processing - Spliceosome - M00352: Spliceosome, U2-snRNP",M00352,"M00352: Spliceosome, U2-snRNP",Genetic information processing,Spliceosome,336
337,"Genetic information processing - Spliceosome - M00353: Spliceosome, Prp19/CDC5L complex",M00353,"M00353: Spliceosome, Prp19/CDC5L complex",Genetic information processing,Spliceosome,337
338,"Genetic information processing - Spliceosome - M00354: Spliceosome, U4/U6.U5 tri-snRNP",M00354,"M00354: Spliceosome, U4/U6.U5 tri-snRNP",Genetic information processing,Spliceosome,338
339,"Genetic information processing - Spliceosome - M00355: Spliceosome, 35S U5-snRNP",M00355,"M00355: Spliceosome, 35S U5-snRNP",Genetic information processing,Spliceosome,339
340,"Energy metabolism - Methane metabolism - M00356: Methanogenesis, methanol => methane",M00356,"M00356: Methanogenesis, methanol => methane",Energy metabolism,Methane metabolism,340
341,"Energy metabolism - Methane metabolism - M00357: Methanogenesis, acetate => methane",M00357,"M00357: Methanogenesis, acetate => methane",Energy metabolism,Methane metabolism,341
342,Energy metabolism - Methane metabolism - M00358: Coenzyme M biosynthesis,M00358,M00358: Coenzyme M biosynthesis,Energy metabolism,Methane metabolism,342
343,"Metabolism - Aminoacyl tRNA - M00359: Aminoacyl-tRNA biosynthesis, eukaryotes",M00359,"M00359: Aminoacyl-tRNA biosynthesis, eukaryotes",Metabolism,Aminoacyl tRNA,343
344,"Metabolism - Aminoacyl tRNA - M00360: Aminoacyl-tRNA biosynthesis, prokaryotes",M00360,"M00360: Aminoacyl-tRNA biosynthesis, prokaryotes",Metabolism,Aminoacyl tRNA,344
345,"Metabolism - Nucleotide sugar - M00361: Nucleotide sugar biosynthesis, eukaryotes",M00361,"M00361: Nucleotide sugar biosynthesis, eukaryotes",Metabolism,Nucleotide sugar,345
346,"Metabolism - Nucleotide sugar - M00362: Nucleotide sugar biosynthesis, prokaryotes",M00362,"M00362: Nucleotide sugar biosynthesis, prokaryotes",Metabolism,Nucleotide sugar,346
347,"Gene set - Pathogenicity - M00363: EHEC pathogenicity signature, Shiga toxin",M00363,"M00363: EHEC pathogenicity signature, Shiga toxin",Gene set,Pathogenicity,347
348,"Carbohydrate and lipid metabolism - Terpenoid backbone biosynthesis - M00364: C10-C20 isoprenoid biosynthesis, bacteria",M00364,"M00364: C10-C20 isoprenoid biosynthesis, bacteria",Carbohydrate and lipid metabolism,Terpenoid backbone biosynthesis,348
349,"Carbohydrate and lipid metabolism - Terpenoid backbone biosynthesis - M00365: C10-C20 isoprenoid biosynthesis, archaea",M00365,"M00365: C10-C20 isoprenoid biosynthesis, archaea",Carbohydrate and lipid metabolism,Terpenoid backbone biosynthesis,349
350,"Carbohydrate and lipid metabolism - Terpenoid backbone biosynthesis - M00366: C10-C20 isoprenoid biosynthesis, plants",M00366,"M00366: C10-C20 isoprenoid biosynthesis, plants",Carbohydrate and lipid metabolism,Terpenoid backbone biosynthesis,350
351,"Carbohydrate and lipid metabolism - Terpenoid backbone biosynthesis - M00367: C10-C20 isoprenoid biosynthesis, non-plant eukaryotes",M00367,"M00367: C10-C20 isoprenoid biosynthesis, non-plant eukaryotes",Carbohydrate and lipid metabolism,Terpenoid backbone biosynthesis,351
352,"Nucleotide and amino acid metabolism - Cysteine and methionine metabolism - M00368: Ethylene biosynthesis, methionine => ethylene",M00368,"M00368: Ethylene biosynthesis, methionine => ethylene",Nucleotide and amino acid metabolism,Cysteine and methionine metabolism,352
353,"Secondary metabolism - Biosynthesis of secondary metabolites - M00369: Cyanogenic glycoside biosynthesis, tyrosine => dhurrin",M00369,"M00369: Cyanogenic glycoside biosynthesis, tyrosine => dhurrin",Secondary metabolism,Biosynthesis of secondary metabolites,353
354,"Secondary metabolism - Biosynthesis of secondary metabolites - M00370: Glucosinolate biosynthesis, tryptophan => glucobrassicin",M00370,"M00370: Glucosinolate biosynthesis, tryptophan => glucobrassicin",Secondary metabolism,Biosynthesis of secondary metabolites,354
355,"Carbohydrate and lipid metabolism - Other terpenoid biosynthesis - M00371: Castasterone biosynthesis, campesterol => castasterone",M00371,"M00371: Castasterone biosynthesis, campesterol => castasterone",Carbohydrate and lipid metabolism,Other terpenoid biosynthesis,355
356,"Carbohydrate and lipid metabolism - Other terpenoid biosynthesis - M00372: Abscisic acid biosynthesis, beta-carotene => abscisic acid",M00372,"M00372: Abscisic acid biosynthesis, beta-carotene => abscisic acid",Carbohydrate and lipid metabolism,Other terpenoid biosynthesis,356
357,Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00373: Ethylmalonyl pathway,M00373,M00373: Ethylmalonyl pathway,Carbohydrate and lipid metabolism,Other carbohydrate metabolism,357
358,Energy metabolism - Carbon fixation - M00374: Dicarboxylate-hydroxybutyrate cycle,M00374,M00374: Dicarboxylate-hydroxybutyrate cycle,Energy metabolism,Carbon fixation,358
359,Energy metabolism - Carbon fixation - M00375: Hydroxypropionate-hydroxybutylate cycle,M00375,M00375: Hydroxypropionate-hydroxybutylate cycle,Energy metabolism,Carbon fixation,359
